辻野あかり,つじのあかり,梅澤めぐ,うめざわめぐ,E81E10,Cu,232,30,16,3.89,93.10,90.98
難波笑美,なんばえみ,伊達朱里紗,だてありさ,E43C2F,Pa,228,60,47,4.31,79.39,89.41
日野茜,ひのあかね,赤﨑千夏,あかさきちなつ,F94537,Pa,249,69,55,4.33,77.91,97.65
関裕美,せきひろみ,会沢紗弥,あいざわさや,FAB4AC,Cu,250,180,172,6.15,31.20,98.04
藤本里奈,ふじもとりな,金子真由美,かねこまゆみ,653A2A,Cu,101,58,42,16.27,58.42,39.61
片桐早苗,かたぎりさなえ,和氣あず未,わきあずみ,DF4308,Pa,223,67,8,16.47,96.41,87.45
ナターリア,なたーりあ,生田輝,いくたてる,DA5F26,Pa,218,95,38,19.00,82.57,85.49
依田芳乃,よりたよしの,高田憂希,たかだゆうき,C4BBB6,Pa,196,187,182,21.43,7.14,76.86
堀裕子,ほりゆうこ,鈴木絵理,すずきえり,EE9F54,Pa,238,159,84,29.22,64.71,93.33
姫川友紀,ひめかわゆき,杜野まこ,もりのまこ,EF8903,Pa,239,137,3,34.07,98.74,93.73
城ヶ崎美嘉,じょうがさきみか,佳村はるか,よしむらはるか,FF9E1B,Pa,255,158,27,34.47,89.41,100.00
上田鈴帆,うえだすずほ,春野ななみ,はるのななみ,C9870F,Pa,201,135,15,38.71,92.54,78.82
本田未央,ほんだみお,原紗友里,はらさゆり,FFB71C,Pa,255,183,28,40.97,89.02,100.00
大槻唯,おおつきゆい,山下七海,やましたななみ,F5BE0B,Pa,245,190,11,45.90,95.51,96.08
市原仁奈,いちはらにな,久野美咲,くのみさき,F7DE8C,Pa,247,222,140,45.98,43.32,96.86
喜多日菜子,きたひなこ,深川芹亜,ふかがわせりあ,F9D857,Pa,249,216,87,47.78,65.06,97.65
赤城みりあ,あかぎみりあ,黒沢ともよ,くろさわともよ,FACD02,Pa,250,205,2,49.11,99.20,98.04
諸星きらり,もろぼしきらり,松嵜麗,まつざきれい,F8D000,Pa,248,208,0,50.32,100.00,97.25
龍崎薫,りゅうざきかおる,春瀬なつみ,はるせなつみ,F9E050,Pa,249,224,80,51.12,67.87,97.65
城ヶ崎莉嘉,じょうがさきりか,山本希望,やまもとのぞみ,FDDC01,Pa,253,220,1,52.14,99.60,99.22
相葉夕美,あいばゆみ,木村珠莉,きむらじゅり,EEE78F,Pa,238,231,143,55.58,39.92,93.33
